AlarmName	NodeId	Severity	PlcSymbolPath	Description
TLS_M3_MAL_Alarm_156	ns=2;s=TLS_M3_MAL_Alarm[156]	Medium	GVL.TLS_M3_MAL_Alarm[156]	Alarm 156
TLS_M3_MAL_Alarm_157	ns=2;s=TLS_M3_MAL_Alarm[157]	Medium	GVL.TLS_M3_MAL_Alarm[157]	Alarm 157
TLS_M3_MAL_Alarm_158	ns=2;s=TLS_M3_MAL_Alarm[158]	Medium	GVL.TLS_M3_MAL_Alarm[158]	Alarm 158
TLS_M3_MAL_Alarm_159	ns=2;s=TLS_M3_MAL_Alarm[159]	Medium	GVL.TLS_M3_MAL_Alarm[159]	Alarm 159
TLS_M3_MAL_Alarm_160	ns=2;s=TLS_M3_MAL_Alarm[160]	Medium	GVL.TLS_M3_MAL_Alarm[160]	Alarm 160
TLS_M3_MAL_Alarm_161	ns=2;s=TLS_M3_MAL_Alarm[161]	Medium	GVL.TLS_M3_MAL_Alarm[161]	DEFOCALCO 1 OUT BUTTON, Right Trolley, Barrel
TLS_M3_MAL_Alarm_162	ns=2;s=TLS_M3_MAL_Alarm[162]	Medium	GVL.TLS_M3_MAL_Alarm[162]	DEFOCALCO 1 OUT BUTTON, Right Trolley, Bumper opposite board side
TLS_M3_MAL_Alarm_163	ns=2;s=TLS_M3_MAL_Alarm[163]	Medium	GVL.TLS_M3_MAL_Alarm[163]	Alarm 163
TLS_M3_MAL_Alarm_164	ns=2;s=TLS_M3_MAL_Alarm[164]	Medium	GVL.TLS_M3_MAL_Alarm[164]	DEFOCALCO 1 OUT BUTTON, Left Trolley, Barrel
TLS_M3_MAL_Alarm_165	ns=2;s=TLS_M3_MAL_Alarm[165]	Medium	GVL.TLS_M3_MAL_Alarm[165]	DEFOCALCO 1 OUT/BUTTON, Left Trolley, Bumper opposite board side
TLS_M3_MAL_Alarm_166	ns=2;s=TLS_M3_MAL_Alarm[166]	Medium	GVL.TLS_M3_MAL_Alarm[166]	Alarm 166
